Linux 3.10.0-862.11.6.el7.x86_64 (rhel7-2.example.com) 	2018-09-30 	_x86_64_	(6 CPU)

12:00:01 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
05:20:01 AM       1      0.29      0.00      0.17      0.07      0.00      0.00      0.00      0.00      0.00     99.47
05:20:01 AM       2      0.23      0.00      0.12      0.04      0.00      0.00      0.00      0.00      0.00     99.61
05:20:01 AM       3      0.22      0.00      0.13      0.20      0.00      0.00      0.00      0.00      0.00     99.46
05:20:01 AM       4      0.19      0.00      0.14      0.04      0.00      0.00      0.00      0.00      0.00     99.63
05:20:01 AM       5      0.18      0.00      0.15      0.42      0.00      0.00      0.00      0.00      0.00     99.25
05:30:01 AM     all      0.25      0.00      0.24      0.14      0.00      0.00      0.00      0.00      0.00     99.36
05:30:01 AM       0      0.36      0.00      0.42      0.11      0.00      0.00      0.00      0.00      0.00     99.11
05:30:01 AM       1      0.28      0.00      0.25      0.04      0.00      0.00      0.00      0.00      0.00     99.43
05:30:01 AM       2      0.19      0.00      0.16      0.05      0.00      0.00      0.00      0.00      0.00     99.60
05:30:01 AM       3      0.24      0.00      0.15      0.24      0.00      0.00      0.00      0.00      0.00     99.36
05:30:01 AM       4      0.22      0.00      0.28      0.05      0.00      0.00      0.00      0.00      0.00     99.45
05:30:01 AM       5      0.22      0.00      0.18      0.37      0.00      0.00      0.00      0.00      0.00     99.23

05:30:01 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
05:40:02 AM     all      0.24      0.00      0.18      0.17      0.00      0.00      0.00      0.00      0.00     99.41
05:40:02 AM       0      0.32      0.00      0.36      0.11      0.00      0.00      0.00      0.00      0.00     99.21
05:40:02 AM       1      0.28      0.00      0.21      0.16      0.00      0.00      0.00      0.00      0.00     99.34
05:40:02 AM       2      0.20      0.00      0.13      0.07      0.00      0.00      0.00      0.00      0.00     99.61
05:40:02 AM       3      0.23      0.00      0.12      0.18      0.00      0.00      0.00      0.00      0.00     99.46
05:40:02 AM       4      0.22      0.00      0.13      0.05      0.00      0.00      0.00      0.00      0.00     99.60
05:40:02 AM       5      0.21      0.00      0.12      0.44      0.00      0.00      0.00      0.00      0.00     99.23
05:50:01 AM     all      0.24      0.00      0.18      0.14      0.00      0.00      0.00      0.00      0.00     99.44
05:50:01 AM       0      0.29      0.00      0.30      0.11      0.00      0.00      0.00      0.00      0.00     99.30
05:50:01 AM       1      0.25      0.00      0.24      0.03      0.00      0.00      0.00      0.00      0.00     99.49
05:50:01 AM       2      0.20      0.00      0.12      0.18      0.00      0.00      0.00      0.00      0.00     99.50
05:50:01 AM       3      0.22      0.00      0.11      0.20      0.00      0.00      0.00      0.00      0.00     99.48
05:50:01 AM       4      0.20      0.00      0.13      0.02      0.00      0.00      0.00      0.00      0.00     99.65
05:50:01 AM       5      0.30      0.00      0.16      0.32      0.00      0.00      0.00      0.00      0.00     99.23
06:00:01 AM     all      0.24      0.00      0.20      0.18      0.00      0.00      0.00      0.00      0.00     99.38
06:00:01 AM       0      0.35      0.00      0.33      0.17      0.00      0.00      0.00      0.00      0.00     99.15
06:00:01 AM       1      0.25      0.00      0.23      0.06      0.00      0.00      0.00      0.00      0.00     99.45
06:00:01 AM       2      0.21      0.00      0.15      0.18      0.00      0.00      0.00      0.00      0.00     99.46
06:00:01 AM       3      0.20      0.00      0.16      0.20      0.00      0.00      0.00      0.00      0.00     99.43
06:00:01 AM       4      0.22      0.00      0.16      0.21      0.00      0.00      0.00      0.00      0.00     99.40
06:00:01 AM       5      0.23      0.00      0.15      0.25      0.00      0.00      0.00      0.00      0.00     99.37
06:10:01 AM     all      0.28      0.00      0.21      0.14      0.00      0.00      0.00      0.00      0.00     99.38
06:10:01 AM       0      0.37      0.00      0.37      0.13      0.00      0.00      0.00      0.00      0.00     99.13
06:10:01 AM       1      0.28      0.00      0.24      0.04      0.00      0.00      0.00      0.00      0.00     99.44
06:10:01 AM       2      0.23      0.00      0.16      0.03      0.00      0.00      0.00      0.00      0.00     99.57
06:10:01 AM       3      0.24      0.00      0.14      0.21      0.00      0.00      0.00      0.00      0.00     99.41
06:10:01 AM       4      0.28      0.00      0.18      0.05      0.00      0.00      0.00      0.00      0.00     99.50
06:10:01 AM       5      0.28      0.00      0.16      0.35      0.00      0.00      0.00      0.00      0.00     99.21
06:20:01 AM     all      0.24      0.00      0.18      0.15      0.00      0.00      0.00      0.00      0.00     99.42
06:20:01 AM       0      0.32      0.00      0.36      0.15      0.00      0.00      0.00      0.00      0.00     99.17
06:20:01 AM       1      0.30      0.00      0.17      0.06      0.00      0.00      0.00      0.00      0.00     99.47
